study_id,title,endpoint_family,source_type,has_numeric_snippet,has_local_source,ready_for_pooling,reason_not_ready
41943481.0,Baseline characteristics of the SINgapore GERiatric Intervention Study to Reduce Cognitive Decline and Physical Frailty (SINGER) multidomain dementia prevention randomized controlled trial and insights from the recruitment process.,frailty_function,pmc_xml,yes,yes,no,Arm-level summary statistics or model-level standard errors not yet extracted
41984883.0,Reducing frailty in frail people with multiple sclerosis: Feasibility of a 6-week multimodal exercise training program.,frailty_function,pmc_xml,yes,yes,no,Arm-level summary statistics or model-level standard errors not yet extracted
38424099.0,Effect of gut microbiome modulation on muscle function and cognition: the PROMOTe randomised controlled trial.,cognition,publisher_html,yes,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
39024000.0,Assessing the Clinical Effectiveness of an Exergame-Based Exercise Training Program Using Ring Fit Adventure to Prevent and Postpone Frailty and Sarcopenia Among Older Adults in Rural Long-Term Care Facilities: Randomized Controlled Trial.,frailty_function,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
10.1007_s12603-018-1090-9,Effects of Resistance Exercise Training on Cognitive Function and Physical Performance in Cognitive Frailty: A Randomized Controlled Trial,frailty_function,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
41503609.0,Interaction between physical activity and deficit-based frailty on all-cause mortality in older adults: a prospective study of five population-based cohorts.,frailty_function,pmc_xml,no,yes,no,Arm-level summary statistics or model-level standard errors not yet extracted
38378685.0,Fasting-mimicking diet causes hepatic and blood markers changes indicating reduced biological age and disease risk.,epigenetic_biological_age,publisher_html,yes,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
31761958.0,"Topical rapamycin reduces markers of senescence and aging in human skin: an exploratory, prospective, randomized trial.",other,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
40188830.0,Influence of rapamycin on safety and healthspan metrics after one year: PEARL trial results.,other,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
26094889.0,"A Periodic Diet that Mimics Fasting Promotes Multi-System Regeneration, Enhanced Cognitive Performance, and Healthspan.",cognition,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
41766355.0,"Caloric restriction and time-restricted eating in older adults with overweight or obesity: The Health, Aging, and Later-Life Outcomes Pilot Study.",other,pmc_xml,yes,yes,no,Arm-level summary statistics or model-level standard errors not yet extracted
41677077.0,A Multidomain Lifestyle Intervention Is Associated With Improved Functional Trajectories and Favorable Changes in Epigenetic Aging Markers in Frail Older Adults: A Randomized Controlled Trial.,epigenetic_biological_age,pmc_xml,yes,yes,no,Arm-level summary statistics or model-level standard errors not yet extracted
41835341.0,A phase II randomized placebo-controlled study of fisetin to improve physical function in breast cancer survivors: the TROFFi study rationale and trial design.,other,pmc_xml,yes,yes,no,Arm-level summary statistics or model-level standard errors not yet extracted
41663978.0,Viability of an educational program for lifestyle changes and an algorithm for the derivation of exercise programs in older people at risk of dependency at primary care: PRICA-POWFRAIL study protocol.,other,pmc_xml,no,yes,no,Arm-level summary statistics or model-level standard errors not yet extracted
41717034.0,Epigenetic and microbiome responses to greens supplementation in obese older adults: results from a randomized crossover-controlled trial.,epigenetic_biological_age,pmc_xml,yes,yes,no,Arm-level summary statistics or model-level standard errors not yet extracted
39951177.0,"Test of Rapamycin in Aging Dogs (TRIAD): study design and rationale for a prospective, parallel-group, double-masked, randomized, placebo-controlled, multicenter trial of rapamycin in healthy middle-aged dogs from the Dog Aging Project.",other,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
10.1136_jnnp-2024-ehdn.333,J012 NAD-HD: a randomized clinical trial of nicotinamide riboside in Huntington’s disease,other,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
39771028.0,"Obesity and Metabolic Disease Impair the Anabolic Response to Protein Supplementation and Resistance Exercise: A Retrospective Analysis of a Randomized Clinical Trial with Implications for Aging, Sarcopenic Obesity, and Weight Management.",other,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
10.1123_japa.2023-0257,Erratum. Effects of Dancing Associated With Resistance Training on Functional Parameters and Quality of Life of Aging Women: A Randomized Controlled Trial,other,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
36482258.0,"The efficacy and safety of β-nicotinamide mononucleotide (NMN) supplementation in healthy middle-aged adults: a randomized, multicenter, double-blind, placebo-controlled, parallel-group, dose-dependent clinical trial.",other,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
37118425.0,Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,other,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
34535961.0,DNA methylation-based biomarkers of aging were slowed down in a two-year diet and physical activity intervention trial: the DAMA study.,other,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
30762623.0,The Additive Effects of Creatine Supplementation and Exercise Training in an Aging Population: A Systematic Review of Randomized Controlled Trials.,other,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
31208471.0,Effect of a multicomponent exercise programme (VIVIFRAIL) on functional capacity in frail community elders with cognitive decline: study protocol for a randomized multicentre control trial.,cognition,publisher_html,no,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
41854192.0,Effects of Diactive-1-Supported Progressive Resistance Training on Body Composition in Youth With Type 1 Diabetes.,other,doi_landing_page,yes,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
41475553.0,Diet quality and nutritional adequacy during a 2-year calorie restriction intervention: the Comprehensive Assessment of Long-Term Effects of Reducing Intake of Energy 2 trial.,other,doi_landing_page,yes,no,no,Arm-level summary statistics or model-level standard errors not yet extracted
