intervention,mechanism,directness,species_model,title
caloric_restriction,unclear,inferred_from_title_abstract,unclear,"Review for ""Caloric restriction extends lifespan in a clonal plant"""
caloric_restriction,unclear,inferred_from_title_abstract,unclear,"Review for ""Caloric restriction extends lifespan in a clonal plant"""
caloric_restriction,unclear,inferred_from_title_abstract,unclear,"Review for ""Caloric restriction extends lifespan in a clonal plant"""
microbiome,microbiome_host,inferred_from_title_abstract,unclear,A review of skin microbiome and new challenges to cosmetic microbiome-friendly formulations.
stem_cell,stem_cell_effects,inferred_from_title_abstract,unclear,Advances in Longevity: The Intersection of Regenerative Medicine and Cosmetic Dermatology.
exercise,unclear,inferred_from_title_abstract,unclear,"Impacts of exercise, renin-angiotensin system modulation or both on skeletal muscle circadian gene expression."
exercise,unclear,inferred_from_title_abstract,human,Erratum. Effects of Dancing Associated With Resistance Training on Functional Parameters and Quality of Life of Aging Women: A Randomized Controlled Trial
exercise,unclear,inferred_from_title_abstract,human,Effects of Prolonged Hypertrophic Resistance Training on Acute Endocrine Responses in Young and Older Men
exercise,unclear,inferred_from_title_abstract,human,Exercise Training for Older Adults with Limitations in Physical Function
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,human,J012 NAD-HD: a randomized clinical trial of nicotinamide riboside in Huntington’s disease
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Can Short-Term Dietary Restriction and Fasting Have a Long-Term Anticarcinogenic Effect?
senolytics,cellular_senescence,inferred_from_title_abstract,unclear,Senolytic Combination of Dasatinib and Quercetin Promotes Tendon-to-Bone Healing by Mitigating Age-Related Senescence in Rats
senolytics,unclear,inferred_from_title_abstract,human,A phase II randomized placebo-controlled study of fisetin to improve physical function in breast cancer survivors: the TROFFi study rationale and trial design.
senolytics,cellular_senescence,inferred_from_title_abstract,cellular,The senolytic effect of Dasatinib and Quercetin on cellular senescence in COPD in vitro and in vivo models
stem_cell,stem_cell_effects,inferred_from_title_abstract,cellular,"Rejuvenation of airway basal stem cells by partial chemical reprogramming Mengyu Zou1, Qiaoyu Chen1, Ying Hua1, Wei Zuo1,2* 1Tongji Stem Cell Center, Tongji University, Shanghai, China 2Kiangnan Institute of Stem Cell, Hangzhou, China"
stem_cell,epigenetic_alterations,inferred_from_title_abstract,cellular,"Rejuvenation of airway basal stem cells by partial chemical reprogramming Mengyu Zou1, Qiaoyu Chen1, Ying Hua1, Wei Zuo1,2* 1Tongji Stem Cell Center, Tongji University, Shanghai, China 2Kiangnan Institute of Stem Cell, Hangzhou, China"
exercise,unclear,inferred_from_title_abstract,unclear,Ageing and exercise: building body capital in old age
exercise,unclear,inferred_from_title_abstract,human,High-speed resistance training vs. low-speed resistance training on body composition and physical function in adults with sarcopenic obesity
exercise,unclear,inferred_from_title_abstract,human,Viability of an educational program for lifestyle changes and an algorithm for the derivation of exercise programs in older people at risk of dependency at primary care: PRICA-POWFRAIL study protocol.
senolytics,cellular_senescence,inferred_from_title_abstract,animal,Senogenic-senolytic treatment strategies enhance tumor control and can improve survival in murine cancer models: a systematic review.
microbiome,microbiome_host,inferred_from_title_abstract,unclear,From dysbiosis to longevity: a narrative review into the gut microbiome's impact on aging.
caloric_restriction,unclear,inferred_from_title_abstract,human,The impacts of different dietary restriction regimens on aging and longevity: from yeast to humans.
reprogramming,cellular_senescence,inferred_from_title_abstract,cellular,Targeting PURPL RNA enabled rejuvenation of senescence cells via epigenetic reprogramming.
reprogramming,epigenetic_alterations,inferred_from_title_abstract,cellular,Targeting PURPL RNA enabled rejuvenation of senescence cells via epigenetic reprogramming.
exercise,cellular_senescence,inferred_from_title_abstract,unclear,"""Immunopause"" no more: exercise to counter immunosenescence in aging."
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Targeting the microbiome: from probiotics to fecal microbiota transplantation
reprogramming,epigenetic_alterations,inferred_from_title_abstract,cellular,Rejuvenation of mesenchymal stromal cells via partial reprogramming enables scalable generation of transcriptionally diverse MSC libraries.
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Sex-dependent locus coeruleus vulnerability in Alzheimer's disease: gut dysbiosis as a driver and probiotic intervention as rescue.
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Fecal microbiota transplantation modulates jejunal host-microbiota interface in weanling piglets
caloric_restriction,unclear,inferred_from_title_abstract,animal,Dynamics of gut bacteriophage in diversity outbred mice studied over lifespan and during extreme caloric restriction.
microbiome,microbiome_host,inferred_from_title_abstract,unclear,The fecal microbiota of wild and captive raptors
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Fecal microbiota transplantation in pigs: current status and future perspective
fasting,unclear,inferred_from_title_abstract,human,A Critical Assessment of Fasting to Promote Metabolic Health and Longevity.
reprogramming,epigenetic_alterations,inferred_from_title_abstract,cellular,Age reprogramming: cell rejuvenation by partial reprogramming
exercise,unclear,inferred_from_title_abstract,human,"Longitudinal Bidirectional Associations between Physical Activity and Cognitive Ability in Older Adults across the United Kingdom, United States, and China."
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Dietary restriction with and without caloric restriction for healthy aging
exercise,unclear,inferred_from_title_abstract,human,Reducing frailty in frail people with multiple sclerosis: Feasibility of a 6-week multimodal exercise training program.
exercise,unclear,inferred_from_title_abstract,human,"ASSOCIATION BETWEEN BERG BALANCE, PHYSIOLOGICAL PROFILE ASSESSMENT AND PHYSICAL ACTIVITY, PHYSICAL FUNCTION AND BODY COMPOSITION: A CROSS-SECTIONAL STUDY"
exercise,unclear,inferred_from_title_abstract,unclear,"CHANGES OF BODY COMPOSITION, MUSCULAR STRENGTH AND PHYSICAL PERFORMANCE DUE TO RESISTANCE TRAINING IN OLDER PERSONS WITH SARCOPENIC OBESITY"
exercise,unclear,inferred_from_title_abstract,unclear,EXERCISE: AN IMPORTANT KEY TO PREVENT PHYSICAL AND COGNITIVE FRAILTY
exercise,unclear,inferred_from_title_abstract,human,RESISTANCE TRAINING AND CO-SUPPLEMENTATION WITH CREATINE AND PROTEIN IN OLDER SUBJECTS WITH FRAILTY
exercise,unclear,inferred_from_title_abstract,unclear,EXERCISE INTERVENTIONS FOR PRESERVING PHYSICAL FUNCTION AMONG CANCER SURVIVORS IN MIDDLE TO LATE LIFE
exercise,unclear,inferred_from_title_abstract,human,Educating Medical Students in Counselling Older Adults about Exercise: The Impact of a Physical Activity Module
exercise,unclear,inferred_from_title_abstract,human,The Sustained Impact of a Medical School-Based Physical Activity Module on Interns' Perceived Competence in Advising Older Adults About Exercise
exercise,unclear,inferred_from_title_abstract,human,"Multi-Component Exercise with High-Intensity, Free-Weight, Functional Resistance Training in Pre-Frail Females: A Quasi-Experimental, Pilot Study"
controversial,inflammaging,inferred_from_title_abstract,animal,Young Plasma Attenuated Chronic Kidney Disease Progression after Acute Kidney Injury by Inhibiting Inflammation in Mice
senolytics,cellular_senescence,inferred_from_title_abstract,cellular,"Targeting Cellular Senescence in Aging and Age-Related Diseases: Challenges, Considerations, and the Emerging Role of Senolytic and Senomorphic Therapies"
microbiome,microbiome_host,inferred_from_title_abstract,animal,Fecal Microbiota Transplantation Attenuates Frailty via Gut-Muscle Axis in Old Mice
microbiome,microbiome_host,inferred_from_title_abstract,animal,Fecal Microbiota Transfer from Young Mice Reverts Vascular Aging Hallmarks and Metabolic Impairments in Aged Mice
exercise,unclear,inferred_from_title_abstract,unclear,The Impact of Young and/or Exercised Plasma Transfusions in Neurodegenerative Conditions: A Scoping Review
sleep_circadian,epigenetic_alterations,inferred_from_title_abstract,cellular,Prolonged Mild Sleep Restriction Changes Epigenome-Wide DNA Methylation in Peripheral Blood Cells: A Randomized Crossover Trial.
senolytics,cellular_senescence,inferred_from_title_abstract,cellular,RISING STARS: Targeting premature cellular senescence using senomorphic or senolytic agents to impact diabetes
exercise,dna_repair_genomic,inferred_from_title_abstract,cellular,"Effects of Physical Activity, Exercise Training and Physical Fitness on Telomere Length as Biomarker of Cell Aging"
rapamycin_mtor,nutrient_sensing,inferred_from_title_abstract,unclear,Once again on rapamycin-induced insulin resistance and longevity: despite of or owing to
rapamycin_mtor,nutrient_sensing,inferred_from_title_abstract,unclear,Rapamycin as longevity enhancer and cancer preventative agent in the context of p53 deficiency
metformin,nutrient_sensing,inferred_from_title_abstract,cellular,"Metformin and rapamycin are master-keys for understanding the relationship between cell senescent, aging and cancer"
rapamycin_mtor,nutrient_sensing,inferred_from_title_abstract,unclear,Rapamycin for longevity: opinion article
fasting,stem_cell_effects,inferred_from_title_abstract,cellular,Fasting for stem cell rejuvenation
controversial,unclear,inferred_from_title_abstract,animal,Evaluation of the effect of age of the younger mice on the rejuvenation of the older mice by heterochronic parabiosis
rapamycin_mtor,nutrient_sensing,inferred_from_title_abstract,unclear,Towards disease-oriented dosing of rapamycin for longevity: does aging exist or only age-related diseases?
senolytics,cellular_senescence,inferred_from_title_abstract,unclear,"Exploring the effects of Dasatinib, Quercetin, and Fisetin on DNA methylation clocks: a longitudinal study on senolytic interventions"
senolytics,epigenetic_alterations,inferred_from_title_abstract,unclear,"Exploring the effects of Dasatinib, Quercetin, and Fisetin on DNA methylation clocks: a longitudinal study on senolytic interventions"
rapamycin_mtor,nutrient_sensing,inferred_from_title_abstract,human,What is the clinical evidence to support off-label rapamycin therapy in healthy adults?
senolytics,cellular_senescence,inferred_from_title_abstract,unclear,Exploring Senolytic and Senomorphic Properties of Medicinal Plants for Anti-Aging Therapies
senolytics,cellular_senescence,inferred_from_title_abstract,cellular,"Heterogeneity of Cellular Senescence, Senotyping, and Targeting by Senolytics and Senomorphics in Lung Diseases"
senolytics,cellular_senescence,inferred_from_title_abstract,animal,"Rescuing Healthspan in Obese, Aged Mice: A Comparison between Multi-Ingredient Nutraceuticals and Senolytic Interventions"
senolytics,cellular_senescence,inferred_from_title_abstract,animal,Long-term treatment with senolytic drugs Dasatinib and Quercetin ameliorates age-dependent intervertebral disc degeneration in mice
microbiome,microbiome_host,inferred_from_title_abstract,unclear,"Young to aged fecal microbiota transfer reverses hallmarks of the aging gut, eye, and brain"
nad_sirtuin,epigenetic_alterations,inferred_from_title_abstract,unclear,Nicotinamide mononucleotide ameliorates adriamycin-induced renal damage by epigenetically suppressing the NMN/NAD consumers mediated by Twist2
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,Nicotinamide mononucleotide ameliorates adriamycin-induced renal damage by epigenetically suppressing the NMN/NAD consumers mediated by Twist2
senolytics,cellular_senescence,inferred_from_title_abstract,animal,Dasatinib and quercetin senolytic treatment delays early onset intervertebral disc degeneration in SM/J mice
senolytics,cellular_senescence,inferred_from_title_abstract,cellular,Modulating SASP-Driven Paracrine Effects to Overcome Therapy-Induced Senescence: Senolytic Role of Hesperidin and Quercetin in A549 Lung Cancer Cells
microbiome,microbiome_host,inferred_from_title_abstract,unclear,The gut–brain axis in neurodegenerative disorders: Evaluating the therapeutic potential of probiotic and fecal microbiota transplantation
exercise,unclear,inferred_from_title_abstract,unclear,Systemic Metabolic Bottlenecks as Constraints on Exercise Responsiveness and Functional Healthspan During Aging
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Gut microbiome composition after multi-donor fecal microbiota transplantation for obesity
stem_cell,stem_cell_effects,inferred_from_title_abstract,unclear,Poly-L-Lactic Acid in Facial Rejuvenation: Volumetric Data Supporting Regenerative Outcomes.
senolytics,cellular_senescence,inferred_from_title_abstract,cellular,Targeting Cellular Senescence for Healthy Aging: Advances in Senolytics and Senomorphics.
senolytics,cellular_senescence,inferred_from_title_abstract,cellular,Targeting Cellular Senescence: Therapeutic Advances in Senolytic and Senomorphic Interventions for Age-Related Pathologies
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,"Nicotinamide Adenine Dinucleotide (NAD)-Dependent Protein Deacetylase, Sirtuin, as a Biomarker of Healthy Life Expectancy: A Mini- Review"
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,human,Crystal structure of human nicotinamide riboside kinase (NRK1) in complex with nicotinamide mononucleotide (NMN)
metformin,nutrient_sensing,inferred_from_title_abstract,unclear,Mechanisms under Metformin and Rapamycin as Anti-aging Drugs
senolytics,cellular_senescence,inferred_from_title_abstract,unclear,SENOLYTIC COMBINATION OF DASATINIB AND QUERCETIN: A REVIEW OF PRECLINICAL AND CLINICAL STUDIES
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,Nicotinamide Riboside Chloride
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,Nicotinamide Riboside Chloride
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,Nicotinamide Riboside and NAD+ Decline: Hype vs. Evidence
stem_cell,stem_cell_effects,inferred_from_title_abstract,cellular,Can Stem Cells Reverse Aging?
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Fecal microbiota transplantation and gut microbiome effects on psychiatric illnesses
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Dietary Strategies for Healthy Aging – Caloric Restriction and Beyond
exercise,unclear,inferred_from_title_abstract,unclear,Redox regulation in aging muscles: exercise as a key modulator to combat sarcopenia and frailty.
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Molecular mechanisms underlying the lifespan and healthspan benefits of dietary restriction across species.
microbiome,microbiome_host,inferred_from_title_abstract,human,Biohacking the human gut microbiome for precision health and therapeutic innovation.
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Examination of shared gut microbiome signatures in aging and Parkinson's disease.
microbiome,epigenetic_alterations,inferred_from_title_abstract,human,Epigenetic and microbiome responses to greens supplementation in obese older adults: results from a randomized crossover-controlled trial.
microbiome,microbiome_host,inferred_from_title_abstract,human,Epigenetic and microbiome responses to greens supplementation in obese older adults: results from a randomized crossover-controlled trial.
exercise,epigenetic_alterations,inferred_from_title_abstract,unclear,Exercise and nutrition as epigenetic regulators of gene expression: an exploratory scoping review with bibliometric analysis.
senolytics,cellular_senescence,inferred_from_title_abstract,unclear,Senolytic Cocktail Dasatinib+Quercetin (D+Q) Does Not Enhance the Efficacy of Senescence-Inducing Chemotherapy in Liver Cancer
exercise,unclear,inferred_from_title_abstract,human,Research advances in exercise management for frail older adults.
lifestyle_bundle,unclear,inferred_from_title_abstract,human,Editorial: Integrated strategies for lifelong health: multidimensional approaches to aging and lifestyle interventions.
senolytics,cellular_senescence,inferred_from_title_abstract,animal,Senolytic treatment with dasatinib and quercetin does not improve overall influenza responses in aged mice
rapamycin_mtor,nutrient_sensing,inferred_from_title_abstract,unclear,"Rapamycin for longevity: the pros, the cons, and future perspectives."
exercise,unclear,inferred_from_title_abstract,unclear,Editorial: Spotlight on aging: role of exercise and nutrition in healthy longevity.
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,Intravenous infusion of nicotinamide adenine dinucleotide (NAD+) versus nicotinamide riboside (NR): a retrospective tolerability pilot study in a real-world setting
exercise,unclear,inferred_from_title_abstract,human,Effects of exercise training on frail older adults with heart failure: a systematic-review.
exercise,unclear,inferred_from_title_abstract,unclear,Practical guidelines for exercise prescription in different clinical populations.
sleep_circadian,unclear,inferred_from_title_abstract,unclear,"Dynamic Oxidative States: Interplay of Aging, Metabolic Stress, and Circadian Rhythms in Modulating Stroke Severity."
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,"Nicotinamide, Nicotinamide Riboside and Nicotinic Acid—Emerging Roles in Replicative and Chronological Aging in Yeast"
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,"Enzymatic and Chemical Syntheses of Vacor Analogs of Nicotinamide Riboside, NMN and NAD"
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,cellular,Pathobiochemistry of Aging and Neurodegeneration: Deregulation of NAD+ Metabolism in Brain Cells.
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Mechanistic Links Between the Gut Microbiome and Longevity Therapeutics.
metformin,nutrient_sensing,inferred_from_title_abstract,unclear,Metformin for Longevity and Sarcopenia: A Therapeutic Paradox in Aging.
stem_cell,stem_cell_effects,inferred_from_title_abstract,cellular,Rejuvenated Autologous Adult Stem Cells: Emerging Front Runners in the Fight Against Aging and Associated Diseases.
reprogramming,epigenetic_alterations,inferred_from_title_abstract,unclear,Partial Reprogramming Is Conserved from Insect to Mammal.
senolytics,cellular_senescence,inferred_from_title_abstract,unclear,Exploring Senolytic and Senomorphic Properties of Medicinal Plants for Anti-Aging Therapies
senolytics,cellular_senescence,inferred_from_title_abstract,cellular,Targeting Cellular Senescence with Liposome-Encapsulated Fisetin: Evidence of Senomorphic Effect
senolytics,cellular_senescence,inferred_from_title_abstract,cellular,"Heterogeneity of Cellular Senescence, Senotyping, and Targeting by Senolytics and Senomorphics in Lung Diseases."
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Probiotic Modulation in Aging: Strain-Specific Geroprotective Effects in &lt;i&gt;Caenorhabditis elegans&lt;/i&gt;.
senolytics,cellular_senescence,inferred_from_title_abstract,animal,Senolytic Treatment Improves Responsiveness to Mechanical Loading in the Skeleton of Aged Mice.
rapamycin_mtor,nutrient_sensing,inferred_from_title_abstract,animal,Momordica charantia Extract Treatment Extends the Healthy Lifespan of Aging Mice via the Bitter Taste Receptor/mTOR Pathway
sleep_circadian,nutrient_sensing,inferred_from_title_abstract,unclear,Metformin Regulation of the Liver Circadian Clock and Metabolic Aging: A Systems Modeling Study.
stem_cell,stem_cell_effects,inferred_from_title_abstract,unclear,The Molecular Exposome of Visible Age Reversal: From Organ-Skin Axes to Regenerative Aesthetics.
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,cellular,Nicotinamide Riboside and Dihydronicotinic Acid Riboside Synergistically Increase Intracellular NAD+ by Generating Dihydronicotinamide Riboside
sleep_circadian,unclear,inferred_from_title_abstract,unclear,Vitamin B3 Ameliorates Sleep Duration and Quality in Clinical and Pre-Clinical Studies.
fasting,unclear,inferred_from_title_abstract,unclear,"Endocrine Adaptations to Prolonged Fasting: From Physiology, Clinical Uncertainties, Translational Challenges to Healthspan Implications."
senolytics,unclear,inferred_from_title_abstract,cellular,"Beneficial Effects of Fisetin, a Senotherapeutic Compound, in Women's Reproductive Health and Diseases: Evidence from In Vitro to Clinical Studies."
sleep_circadian,unclear,inferred_from_title_abstract,unclear,"How We Sleep, How We Move, How Long We Expect to Live: An Integrative Review of Lifestyle Behaviors and Subjective Life Expectancy."
exercise,unclear,inferred_from_title_abstract,unclear,From Lifespan to Healthspan: Integrating Nutrition and Physical Activity in Healthy Ageing.
microbiome,microbiome_host,inferred_from_title_abstract,human,"Diet, the Gut Microbiome, and Estrogen Physiology: A Review in Menopausal Health and Interventions."
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,A Narrative Review of Nicotinamide Adenine Dinucleotide (NAD)+ Intermediates Nicotinamide Riboside and Nicotinamide Mononucleotide for Keratinocyte Carcinoma Risk Reduction
microbiome,microbiome_host,inferred_from_title_abstract,unclear,"Gut Microbiota, Probiotics, and Aging: Molecular Mechanisms and Implications for Healthy Aging."
senolytics,cellular_senescence,inferred_from_title_abstract,human,Senolytic effect of dasatinib and quercetin on human beings
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Caloric Restriction
sleep_circadian,sirtuin_nad,inferred_from_title_abstract,animal,Nicotinamide mononucleotide attenuates hepatic endoplasmic reticulum stress and modulates circadian rhythms in young mice with diet-induced obesity.
exercise,unclear,inferred_from_title_abstract,human,Resistance Training and Frail Adults
exercise,unclear,inferred_from_title_abstract,unclear,"Aging, health, and physical activity in Iran"
exercise,unclear,inferred_from_title_abstract,unclear,"Education, physical activity, and healthy aging in Italy"
exercise,unclear,inferred_from_title_abstract,unclear,Healthy aging in Cuba through physical activity
exercise,unclear,inferred_from_title_abstract,unclear,Physical and cognitive exercise in ageing
exercise,unclear,inferred_from_title_abstract,unclear,Physiological Adaptability to Training and Physical Activity
exercise,epigenetic_alterations,inferred_from_title_abstract,unclear,Proof of Concept - The Impact of Resistance Training on Female Biological Age: Evidence from a Sex-Specific Epigenetic Clock (UmmuAge)
senolytics,cellular_senescence,inferred_from_title_abstract,human,Cross-senolytic effects of dasatinib and quercetin in humans
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,Nicotinamide Mononucleotide (NMN) as a Solution of Decrease Nicotinamide Adenine Dinucleotide (NAD+) in Aging
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Peer Review Report For: Dietary restriction with and without caloric restriction for healthy aging [version 1; peer review: 3 approved]
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Peer Review Report For: Dietary restriction with and without caloric restriction for healthy aging [version 1; peer review: 3 approved]
caloric_restriction,unclear,inferred_from_title_abstract,unclear,Peer Review Report For: Dietary restriction with and without caloric restriction for healthy aging [version 1; peer review: 3 approved]
controversial,unclear,inferred_from_title_abstract,unclear,Overview of parabiosis and heterochronic parabiosis research in the context of aging
nad_sirtuin,cellular_senescence,inferred_from_title_abstract,cellular,"Sequential versus Co-treatment of MitoQ and NMN to Enhance Autophagy, NAD⁺ Metabolism, and Mitochondrial Function in Cellular Senescence, with Exploratory Uncoupler–NMN Synergy in Vascular Aging"
nad_sirtuin,mitochondrial_function,inferred_from_title_abstract,cellular,"Sequential versus Co-treatment of MitoQ and NMN to Enhance Autophagy, NAD⁺ Metabolism, and Mitochondrial Function in Cellular Senescence, with Exploratory Uncoupler–NMN Synergy in Vascular Aging"
nad_sirtuin,proteostasis_autophagy,inferred_from_title_abstract,cellular,"Sequential versus Co-treatment of MitoQ and NMN to Enhance Autophagy, NAD⁺ Metabolism, and Mitochondrial Function in Cellular Senescence, with Exploratory Uncoupler–NMN Synergy in Vascular Aging"
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,cellular,"Sequential versus Co-treatment of MitoQ and NMN to Enhance Autophagy, NAD⁺ Metabolism, and Mitochondrial Function in Cellular Senescence, with Exploratory Uncoupler–NMN Synergy in Vascular Aging"
metformin,nutrient_sensing,inferred_from_title_abstract,unclear,"Where and How in the mTOR Pathway Inhibitors Fight Aging: Rapamycin, Resveratrol, and Metformin"
reprogramming,epigenetic_alterations,inferred_from_title_abstract,cellular,Partial Reprogramming Uncouples Cellular Identity from Cellular Aging in Mesenchymal Stromal Cells
microbiome,microbiome_host,inferred_from_title_abstract,human,"Impact of probiotic supplementation in lactating sows on immune and oxidative stress biomarkers, short-chain fatty acids, piglet performance, and fecal microbiome"
metformin,nutrient_sensing,inferred_from_title_abstract,unclear,Molecular mechanisms of metformin action: From metabolic effects to lifespan extension and healthspan promotion.
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,human,EFFICACY OF NICOTINAMIDE MONONUCLEOTIDE SUPPLEMENTATION (NMN) IN BLOOD NICOTINAMIDE ADENINE DINUCLEOTIDE (NAD) FOR ANTI-AGING IN ADULTS: A SYSTEMATIC REVIEW
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,animal,"Impact of nicotinamide riboside, a precursor of NAD⁺ on cardiac remodeling after myocardial infarction in rat"
metformin,nutrient_sensing,inferred_from_title_abstract,unclear,Anti-aging effects of metformin: impact on signs of aging
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,animal,"Peer Review #2 of ""Nicotinamide riboside exerts protective effect against aging-induced NAFLD-like hepatic dysfunction in mice (v0.1)"""
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,Figure 1. Various modes of axonal protection mediated by the manipulation of NAD+ synthesis pathways.
supplements,epigenetic_alterations,inferred_from_title_abstract,human,Figure 2—figure supplement 4. Age-related changes in DNA methylation of the ten WLMT clock sites with highest positive weights.
supplements,epigenetic_alterations,inferred_from_title_abstract,human,Figure 2—figure supplement 5. Age-related changes in DNA methylation for the ten WLMT clock sites with lowest negative weights.
senolytics,cellular_senescence,inferred_from_title_abstract,animal,Editor's evaluation: Short senolytic or senostatic interventions rescue progression of radiation-induced frailty and premature ageing in mice
senolytics,cellular_senescence,inferred_from_title_abstract,animal,Decision letter: Short senolytic or senostatic interventions rescue progression of radiation-induced frailty and premature ageing in mice
exercise,unclear,inferred_from_title_abstract,unclear,Physical Activity as an Intervention for Frailty Syndrome: A Narrative Review.
microbiome,microbiome_host,inferred_from_title_abstract,unclear,Fecal Microbiota Transplantation: A Microbiome Modulation Technique for Alzheimer’s Disease
rapamycin_mtor,nutrient_sensing,inferred_from_title_abstract,cellular,The Mechanistic Target of Rapamycin (mTOR) Pathway as a Target of Anti-aging Therapies: The Role of Rapamycin and Its Analogs in the Regulation of Cellular Processes and Their Impact on Longevity.
senolytics,cellular_senescence,inferred_from_title_abstract,human,Dasatinib and Quercetin: Short-term Simultaneous Administration Yields Senolytic Effect in Humans
nad_sirtuin,sirtuin_nad,inferred_from_title_abstract,unclear,Small molecule activators of sirtuins extend Saccharomyces cerevisiae lifespan.
