title,intervention_classes,outcome_terms,topic_cluster,hype_terms_n,hype_flag,screen_label
"Peer Review #2 of ""Nicotinamide riboside exerts protective effect against aging-induced NAFLD-like hepatic dysfunction in mice (v0.1)""",nad_sirtuin,,4,0,False,uncertain
Figure 1. Various modes of axonal protection mediated by the manipulation of NAD+ synthesis pathways.,nad_sirtuin,,0,0,False,uncertain
Figure 2—figure supplement 4. Age-related changes in DNA methylation of the ten WLMT clock sites with highest positive weights.,supplements,,7,0,False,uncertain
Figure 2—figure supplement 5. Age-related changes in DNA methylation for the ten WLMT clock sites with lowest negative weights.,supplements,,7,0,False,uncertain
Editor's evaluation: Short senolytic or senostatic interventions rescue progression of radiation-induced frailty and premature ageing in mice,senolytics,frailty,6,0,False,uncertain
Decision letter: Short senolytic or senostatic interventions rescue progression of radiation-induced frailty and premature ageing in mice,senolytics,frailty,6,0,False,uncertain
Physical Activity as an Intervention for Frailty Syndrome: A Narrative Review.,exercise,frailty,6,0,False,uncertain
Fecal Microbiota Transplantation: A Microbiome Modulation Technique for Alzheimer’s Disease,microbiome,,1,0,False,uncertain
The Mechanistic Target of Rapamycin (mTOR) Pathway as a Target of Anti-aging Therapies: The Role of Rapamycin and Its Analogs in the Regulation of Cellular Processes and Their Impact on Longevity.,rapamycin_mtor,,0,1,True,uncertain
Dasatinib and Quercetin: Short-term Simultaneous Administration Yields Senolytic Effect in Humans,senolytics,,7,0,False,uncertain
Small molecule activators of sirtuins extend Saccharomyces cerevisiae lifespan.,nad_sirtuin,lifespan,6,0,False,uncertain
Rapamycin fed late in life extends lifespan in genetically heterogeneous mice.,rapamycin_mtor,lifespan,0,0,False,uncertain
"Nicotinamide mononucleotide, a key NAD(+) intermediate, treats the pathophysiology of diet- and age-induced diabetes in mice.",nad_sirtuin,,4,0,False,uncertain
Aging and exercise.,exercise,,2,0,False,uncertain
Telomerase gene therapy in adult and old mice delays aging and increases longevity without increasing cancer.,controversial,,0,0,False,uncertain
Metformin retards aging in C. elegans by altering microbial folate and methionine metabolism.,metformin,,0,0,False,uncertain
Fasting or caloric restriction for healthy aging.,caloric_restriction; fasting,,5,0,False,uncertain
The NAD(+)/Sirtuin Pathway Modulates Longevity through Activation of Mitochondrial UPR and FOXO Signaling.,nad_sirtuin,,0,0,False,uncertain
Metformin improves healthspan and lifespan in mice.,metformin,lifespan; healthspan,6,0,False,include
Declining NAD(+) induces a pseudohypoxic state disrupting nuclear-mitochondrial communication during aging.,nad_sirtuin,,0,0,False,uncertain
NAD+ and sirtuins in aging and disease.,nad_sirtuin,,0,0,False,uncertain
"Longevity, aging and rapamycin.",rapamycin_mtor,,0,0,False,uncertain
The Achilles' heel of senescent cells: from transcriptome to senolytic drugs.,senolytics,,7,0,False,uncertain
"A Periodic Diet that Mimics Fasting Promotes Multi-System Regeneration, Enhanced Cognitive Performance, and Healthspan.",fasting,healthspan,6,0,False,include
NAD(+) Metabolism and the Control of Energy Homeostasis: A Balancing Act between Mitochondria and the Nucleus.,nad_sirtuin,,0,0,False,uncertain
Exercise and the cardiovascular system: clinical science and cardiovascular outcomes.,exercise,,2,0,False,uncertain
MTOR regulates the pro-tumorigenic senescence-associated secretory phenotype by promoting IL1A translation.,rapamycin_mtor,senescence,0,0,False,uncertain
Clearance of senescent cells by ABT263 rejuvenates aged hematopoietic stem cells in mice.,stem_cell,,3,0,False,uncertain
"NAD⁺ in aging, metabolism, and neurodegeneration.",nad_sirtuin,,0,0,False,uncertain
Metformin as a Tool to Target Aging.,metformin,,0,0,False,uncertain
CD38 Dictates Age-Related NAD Decline and Mitochondrial Dysfunction through an SIRT3-Dependent Mechanism.,nad_sirtuin,,7,0,False,uncertain
Probiotics History.,microbiome,,0,0,False,uncertain
The Human Intestinal Microbiome in Health and Disease.,microbiome,,1,0,False,uncertain
Nutrition and Exercise in Sarcopenia.,exercise,,2,0,False,uncertain
"The brain, sirtuins, and ageing.",nad_sirtuin,,6,0,False,uncertain
"Sirtuins, epigenetics and longevity.",nad_sirtuin,,0,0,False,uncertain
Rapamycin in mice.,rapamycin_mtor,,0,0,False,uncertain
Benefits of Exercise in the Older Population.,exercise,,2,0,False,uncertain
NAD(+) Intermediates: The Biology and Therapeutic Potential of NMN and NR.,nad_sirtuin,,0,0,False,uncertain
Therapeutic Potential of NAD-Boosting Molecules: The In Vivo Evidence.,nad_sirtuin,,0,0,False,uncertain
Impairment of an Endothelial NAD(+)-H(2)S Signaling Network Is a Reversible Cause of Vascular Aging.,nad_sirtuin,,0,0,False,uncertain
A Potent and Specific CD38 Inhibitor Ameliorates Age-Related Metabolic Dysfunction by Reversing Tissue NAD(+) Decline.,nad_sirtuin,,7,0,False,uncertain
Senolytics improve physical function and increase lifespan in old age.,senolytics,lifespan,6,0,False,uncertain
The effect of fasting or calorie restriction on autophagy induction: A review of the literature.,caloric_restriction; fasting,,5,0,False,uncertain
De novo NAD(+) synthesis enhances mitochondrial function and improves health.,nad_sirtuin,,0,0,False,uncertain
Haematopoietic stem cell activity and interactions with the niche.,stem_cell,,3,0,False,uncertain
The Additive Effects of Creatine Supplementation and Exercise Training in an Aging Population: A Systematic Review of Randomized Controlled Trials.,exercise; supplements,,2,0,False,uncertain
Is Rapamycin a Dietary Restriction Mimetic?,caloric_restriction; rapamycin_mtor,,5,0,False,uncertain
Senolytic therapy alleviates Aβ-associated oligodendrocyte progenitor cell senescence and cognitive deficits in an Alzheimer's disease model.,senolytics,senescence,7,0,False,uncertain
Effect of a multicomponent exercise programme (VIVIFRAIL) on functional capacity in frail community elders with cognitive decline: study protocol for a randomized multicentre control trial.,exercise,,2,0,False,uncertain
Healthspan and lifespan extension by fecal microbiota transplantation into progeroid mice.,microbiome,lifespan; healthspan,1,0,False,include
Resistance Training for Older Adults: Position Statement From the National Strength and Conditioning Association.,exercise,,2,0,False,uncertain
Oral collagen supplementation for skin aging: A fad or the future?,supplements,,0,0,False,uncertain
Rapamycin protects aging muscle.,rapamycin_mtor,,0,0,False,uncertain
Metformin Restores CNS Remyelination Capacity by Rejuvenating Aged Stem Cells.,metformin; stem_cell,,3,0,False,uncertain
Rapamycin for longevity: opinion article.,rapamycin_mtor,,0,0,False,uncertain
"Dietary Protein, Exercise, and Frailty Domains.",exercise,frailty,2,0,False,uncertain
"Topical rapamycin reduces markers of senescence and aging in human skin: an exploratory, prospective, randomized trial.",rapamycin_mtor,senescence,0,0,False,include
NAD+ therapy in age-related degenerative disorders: A benefit/risk analysis.,nad_sirtuin,,7,0,False,uncertain
Hypothalamic NAD(+)-Sirtuin Axis: Function and Regulation.,nad_sirtuin,,0,0,False,uncertain
Physical activity and exercise: Strategies to manage frailty.,exercise,frailty,2,0,False,uncertain
NAD(+) Controls Circadian Reprogramming through PER2 Nuclear Translocation to Counter Aging.,sleep_circadian; nad_sirtuin,,0,0,False,uncertain
Senolytic CAR T cells reverse senescence-associated pathologies.,senolytics,senescence,7,1,True,uncertain
NAD(+) homeostasis in health and disease.,nad_sirtuin,,0,0,False,uncertain
Rapamycin for aging stem cells.,rapamycin_mtor; stem_cell,,3,0,False,uncertain
Physical exercise in the prevention and treatment of Alzheimer's disease.,exercise,,2,0,False,uncertain
Benefits of exercise training on cerebrovascular and cognitive function in ageing.,exercise,,2,0,False,uncertain
"Preserving Mobility in Older Adults with Physical Frailty and Sarcopenia: Opportunities, Challenges, and Recommendations for Physical Activity Interventions.",exercise,frailty,2,0,False,uncertain
Effect of rapamycin on aging and age-related diseases-past and future.,rapamycin_mtor,,0,0,False,uncertain
"Role of gut-brain axis, gut microbial composition, and probiotic intervention in Alzheimer's disease.",microbiome,,1,0,False,uncertain
Benefits of Resistance Training in Older Adults.,exercise,,2,0,False,uncertain
Stem cell aging.,stem_cell,,3,0,False,uncertain
Senolytic agent Quercetin ameliorates intervertebral disc degeneration via the Nrf2/NF-κB axis.,senolytics,,7,0,False,uncertain
NAD(+) metabolism and its roles in cellular processes during ageing.,nad_sirtuin,,6,0,False,uncertain
Role of NAD(+) in regulating cellular and metabolic signaling pathways.,nad_sirtuin,,0,0,False,uncertain
Current Evidence and Possible Future Applications of Creatine Supplementation for Older Adults.,supplements,,2,0,False,uncertain
"Parabiosis modeling: protocol, application and perspectives.",controversial,,0,0,False,uncertain
[Physical exercise impact on variables related to emotional and functional well-being in older adults].,exercise,,2,0,False,uncertain
Effects of Calorie Restriction on Health Span and Insulin Resistance: Classic Calorie Restriction Diet vs. Ketosis-Inducing Diet.,caloric_restriction,,5,0,False,uncertain
Aged skeletal stem cells generate an inflammatory degenerative niche.,stem_cell,,3,0,False,uncertain
International Exercise Recommendations in Older Adults (ICFSR): Expert Consensus Guidelines.,exercise,,2,0,False,uncertain
"Preclinical and clinical evidence of NAD(+) precursors in health, disease, and ageing.",nad_sirtuin,,6,0,False,uncertain
Molecular mechanisms of dietary restriction promoting health and longevity.,caloric_restriction,,5,0,False,uncertain
DNA methylation-based biomarkers of aging were slowed down in a two-year diet and physical activity intervention trial: the DAMA study.,exercise,,6,0,False,uncertain
"Fasting drives the metabolic, molecular and geroprotective effects of a calorie-restricted diet in mice.",fasting,,0,0,False,uncertain
"Microbiome and Human Aging: Probiotic and Prebiotic Potentials in Longevity, Skin Health and Cellular Senescence.",microbiome,senescence,1,0,False,uncertain
"Multifactorial Mechanism of Sarcopenia and Sarcopenic Obesity. Role of Physical Exercise, Microbiota and Myokines.",exercise,,2,0,False,uncertain
Targeting cellular senescence with senotherapeutics: senolytics and senomorphics.,senolytics,senescence,0,0,False,uncertain
"A Review on Aging, Sarcopenia, Falls, and Resistance Training in Community-Dwelling Older Adults.",exercise,,2,0,False,uncertain
Stem cells to reverse aging.,stem_cell,,3,1,True,uncertain
Molecular hallmarks of heterochronic parabiosis at single-cell resolution.,controversial,,0,0,False,uncertain
Restoring nuclear entry of Sirtuin 2 in oligodendrocyte progenitor cells promotes remyelination during ageing.,nad_sirtuin,,6,0,False,uncertain
[Physical Activity and Mental Health in the Elderly].,exercise,,6,0,False,uncertain
"Intermittent and periodic fasting, longevity and disease.",fasting,,0,0,False,uncertain
Dietary restriction and lifespan: adaptive reallocation or somatic sacrifice?,caloric_restriction,lifespan,5,0,False,uncertain
"Fecal microbiota transfer between young and aged mice reverses hallmarks of the aging gut, eye, and brain.",microbiome,,1,1,True,uncertain
Heterochronic parabiosis induces stem cell revitalization and systemic rejuvenation across aged tissues.,stem_cell; controversial,rejuvenation,3,1,True,include
Ageing and rejuvenation of tissue stem cells and their niches.,stem_cell,rejuvenation,3,1,True,uncertain
Cellular senescence and senolytics: the path to the clinic.,senolytics,senescence,0,0,False,uncertain
"The epigenetic aging, obesity, and lifestyle.",lifestyle_bundle,,0,0,False,uncertain
"The efficacy and safety of β-nicotinamide mononucleotide (NMN) supplementation in healthy middle-aged adults: a randomized, multicenter, double-blind, placebo-controlled, parallel-group, dose-dependent clinical trial.",nad_sirtuin; supplements,,4,0,False,uncertain
Dietary restriction in senolysis and prevention and treatment of disease.,caloric_restriction,,5,0,False,uncertain
Nicotinamide Mononucleotide Supplementation Improves Mitochondrial Dysfunction and Rescues Cellular Senescence by NAD(+)/Sirt3 Pathway in Mesenchymal Stem Cells.,nad_sirtuin; stem_cell; supplements,senescence,4,0,False,include
"Senolytic drugs, dasatinib and quercetin, attenuate adipose tissue inflammation, and ameliorate metabolic function in old age.",senolytics,,7,0,False,uncertain
Social heterochronic parabiosis.,controversial,,0,0,False,uncertain
Increased cellular senescence in doxorubicin-induced murine ovarian injury: effect of senolytics.,senolytics,senescence,0,0,False,uncertain
Harnessing matrix stiffness to engineer a bone marrow niche for hematopoietic stem cell rejuvenation.,stem_cell,rejuvenation,3,1,True,uncertain
Cancer prevention with rapamycin.,rapamycin_mtor,,0,0,False,uncertain
Senolytic vaccination improves normal and pathological age-related phenotypes and increases lifespan in progeroid mice.,senolytics,lifespan,7,0,False,uncertain
Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,caloric_restriction,,5,0,False,uncertain
Heterochronic parabiosis reprograms the mouse brain transcriptome by shifting aging signatures in multiple cell types.,controversial,,0,0,False,uncertain
Targeting the biology of aging with mTOR inhibitors.,rapamycin_mtor,,0,0,False,uncertain
Evaluation of off-label rapamycin use to promote healthspan in 333 adults.,rapamycin_mtor,healthspan,0,0,False,uncertain
Prolonged fasting times reap greater geroprotective effects when combined with caloric restriction in adult female mice.,caloric_restriction; fasting,,5,0,False,uncertain
Sirtuin family in autoimmune diseases.,nad_sirtuin,,0,0,False,uncertain
The Beneficial and Adverse Effects of Autophagic Response to Caloric Restriction and Fasting.,caloric_restriction; fasting,,5,0,False,uncertain
Editorial: Sarcopenia and frailty: the role of physical activity for better aging.,exercise,frailty,6,0,False,uncertain
"Mechanisms, pathways and strategies for rejuvenation through epigenetic reprogramming.",reprogramming,rejuvenation,0,1,True,uncertain
Nutrition and dietary restrictions in cancer prevention.,caloric_restriction,,6,0,False,uncertain
The influence of the gut microbiome on ovarian aging.,microbiome,,1,0,False,uncertain
Epigenetic reprogramming as a key to reverse ageing and increase longevity.,reprogramming,,6,1,True,uncertain
Targeting ageing with rapamycin and its derivatives in humans: a systematic review.,rapamycin_mtor,,6,0,False,uncertain
Sirtuins in kidney health and disease.,nad_sirtuin,,0,0,False,uncertain
The therapeutic perspective of NAD(+) precursors in age-related diseases.,nad_sirtuin,,7,0,False,uncertain
Fasting-mimicking diet causes hepatic and blood markers changes indicating reduced biological age and disease risk.,fasting,biological age,0,0,False,include
Gene Therapy-Mediated Partial Reprogramming Extends Lifespan and Reverses Age-Related Changes in Aged Mice.,reprogramming,lifespan,0,1,True,uncertain
Effect of gut microbiome modulation on muscle function and cognition: the PROMOTe randomised controlled trial.,microbiome,cognition,1,0,False,include
Intermittent fasting and longevity: From animal models to implication for humans.,fasting,,0,0,False,uncertain
Targeting Cell Senescence and Senolytics: Novel Interventions for Age-Related Endocrine Dysfunction.,senolytics,senescence,7,0,False,uncertain
A specific enterotype derived from gut microbiome of older individuals enables favorable responses to immune checkpoint blockade therapy.,microbiome,,1,0,False,uncertain
Depleting myeloid-biased haematopoietic stem cells rejuvenates aged immunity.,stem_cell,,3,0,False,uncertain
Small extracellular vesicles from young plasma reverse age-related functional declines by improving mitochondrial energy metabolism.,controversial,,0,2,True,uncertain
Senolytic and senomorphic agent procyanidin C1 alleviates structural and functional decline in the aged retina.,senolytics,,7,0,False,uncertain
Health Benefits of Intermittent Fasting.,fasting,,0,0,False,uncertain
The Gut and Skin Microbiome and Its Association with Aging Clocks.,microbiome,,1,0,False,uncertain
Assessing the Clinical Effectiveness of an Exergame-Based Exercise Training Program Using Ring Fit Adventure to Prevent and Postpone Frailty and Sarcopenia Among Older Adults in Rural Long-Term Care Facilities: Randomized Controlled Trial.,exercise,frailty,2,0,False,include
Mitigating disuse-induced skeletal muscle atrophy in ageing: Resistance exercise as a critical countermeasure.,exercise,,2,0,False,uncertain
Spermidine is essential for fasting-mediated autophagy and longevity.,fasting,,0,0,False,uncertain
Physical Activity and Epigenetic Aging in Breast Cancer Treatment.,exercise,,6,0,False,uncertain
A surge in endogenous spermidine is essential for rapamycin-induced autophagy and longevity.,rapamycin_mtor,,0,0,False,uncertain
The role of the haematopoietic stem cell niche in development and ageing.,stem_cell,,3,0,False,uncertain
Targeted partial reprogramming of age-associated cell states improves markers of health in mouse models of aging.,reprogramming,,0,0,False,uncertain
Fisetin as a senotherapeutic agent: Evidence and perspectives for age-related diseases.,senolytics,,7,0,False,uncertain
Dietary restriction impacts health and lifespan of genetically diverse mice.,caloric_restriction,lifespan,5,0,False,uncertain
Diet and exercise in frailty and sarcopenia. Molecular aspects.,exercise,frailty,2,0,False,uncertain
"Gut microbiome and bone health: update on mechanisms, clinical correlations, and possible treatment strategies.",microbiome,,1,0,False,uncertain
Lithocholic acid binds TULP3 to activate sirtuins and AMPK to slow down ageing.,nad_sirtuin,,6,0,False,uncertain
"Obesity and Metabolic Disease Impair the Anabolic Response to Protein Supplementation and Resistance Exercise: A Retrospective Analysis of a Randomized Clinical Trial with Implications for Aging, Sarcopenic Obesity, and Weight Management.",exercise; supplements,,2,0,False,uncertain
Modulating mTOR-dependent astrocyte substate transitions to alleviate neurodegeneration.,rapamycin_mtor,,0,0,False,uncertain
"Dasatinib and Quercetin Limit Gingival Senescence, Inflammation, and Bone Loss.",senolytics,senescence,7,0,False,uncertain
The Intersection of Epigenetics and Senolytics in Mechanisms of Aging and Therapeutic Approaches.,senolytics,,0,0,False,uncertain
"Test of Rapamycin in Aging Dogs (TRIAD): study design and rationale for a prospective, parallel-group, double-masked, randomized, placebo-controlled, multicenter trial of rapamycin in healthy middle-aged dogs from the Dog Aging Project.",rapamycin_mtor,,0,0,False,uncertain
Roles of Sirtuins in Cardiovascular Diseases: Mechanisms and Therapeutics.,nad_sirtuin,,0,0,False,uncertain
Senolytic treatment for low back pain.,senolytics,,7,0,False,uncertain
Influence of rapamycin on safety and healthspan metrics after one year: PEARL trial results.,rapamycin_mtor,healthspan,6,0,False,include
The geroprotectors trametinib and rapamycin combine additively to extend mouse healthspan and lifespan.,rapamycin_mtor,lifespan; healthspan,6,0,False,include
YTHDF1 differentiates the contributing roles of mTORC1 in aging.,rapamycin_mtor,,0,0,False,uncertain
Cardiovascular Aging and Exercise: Implications for Heart Failure Prevention and Management.,exercise,,2,0,False,uncertain
Heterochronic parabiosis uncovers AdipoR1 as a critical player in retinal rejuvenation.,controversial,rejuvenation,0,1,True,uncertain
Creatine monohydrate supplementation for older adults and clinical populations.,supplements,,2,0,False,uncertain
A Critical Assessment of Fasting to Promote Metabolic Health and Longevity.,fasting,,0,0,False,uncertain
Prevalent mesenchymal drift in aging and disease is reversed by partial reprogramming.,reprogramming,,0,1,True,uncertain
mTOR dysregulation induces IL-6 and paracrine AT2 cell senescence impeding lung repair in lymphangioleiomyomatosis.,rapamycin_mtor,senescence,0,0,False,uncertain
Aging and the microbiome: implications for health and disease.,microbiome,,1,0,False,uncertain
Dietary restriction in aging and longevity.,caloric_restriction,,5,0,False,uncertain
Head‐to‐head comparison of two senolytic therapies in a mouse model of tauopathy,senolytics,,7,0,False,uncertain
Lifestyle factors affecting aging and healthspan in dogs and cats,lifestyle_bundle,healthspan,6,0,False,uncertain
Mechanistic Links Between the Gut Microbiome and Longevity Therapeutics,microbiome,,1,0,False,uncertain
"Metformin and epigenetic age in non-diabetic older people with HIV in Madrid (METFORAGING): a double-blind, randomised, placebo-controlled, pilot trial",metformin,,0,0,False,uncertain
Metformin for Longevity and Sarcopenia: A Therapeutic Paradox in Aging,metformin,,0,0,False,uncertain
Physical activity attenuates the association between allostatic load and early Alzheimer's disease‐related biomarkers in older adults,exercise,,2,0,False,uncertain
"Targeting muscle–vasculature crosstalk in aging through the integrative roles of L-citrulline, leucine, and exercise: focus on muscle metabolism, vascular function, and sarcopenia prevention",exercise,,2,0,False,uncertain
The Role of Cellular Senescence and SASP in the Pathogenesis of Atherosclerosis and the Therapeutic Potential of Senolytic Strategies in Cardiovascular Diseases,senolytics,senescence,7,0,False,uncertain
